brand,model,weight_g,price_EUR,img_url,length_mm,width_mm,thickness_mm,display_size_pixels,internal_memory_GB,primary_camera_MP,secondary_camera_MP,battery_mAh,is_removable,screen_to_body_ratio,cpu_speed,ram_size,technology_type,color_support,additional_features
Samsung,Galaxy Tab A 10.1 (2016),525,220,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a-101-2016.jpg,254.2,155.3,8.2,1200 x 1920,16.0,8,2.0,7300.0,0,74.9,1.6,2.0,PLS,16M,[]
Samsung,Galaxy Tab A 7.0 (2016),283,130,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a-70-2016-.jpg,186.9,108.8,8.7,800 x 1280,8.0,5,2.0,4000.0,0,69.9,1.3,1.5,IPS LCD,16M,[]
Samsung,Galaxy S7,152,500,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7--.jpg,142.4,69.6,7.9,1440 x 2560,64.0,12,5.0,3000.0,0,72.1,2.3,4.0,Super AMOLED,16M,[]
Samsung,Galaxy S7 edge,157,570,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-edge-.jpg,150.9,72.6,7.7,1440 x 2560,128.0,12,5.0,3600.0,0,76.1,2.15,4.0,Super AMOLED,16M,[]
Samsung,Galaxy S7 edge (USA),157,550,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-edge-usa.jpg,150.9,72.6,7.7,1440 x 2560,32.0,12,5.0,3600.0,0,76.1,2.15,4.0,Super AMOLED,16M,[]
Samsung,Galaxy S7 (USA),152,460,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-usa.jpg,142.4,69.6,7.9,1440 x 2560,32.0,12,5.0,3000.0,0,72.3,2.15,4.0,Super AMOLED,16M,[]
Samsung,Galaxy J1 Nxt,123,90,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j1-nxt.jpg,126.6,63.1,10.8,480 x 800,8.0,5,,1500.0,1,57.0,1.2,1.0,TFT,256K,[]
Samsung,Galaxy Tab E 8.0,360,180,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-e-80.jpg,212.1,126.1,8.9,800 x 1280,16.0,5,2.0,5000.0,0,69.4,1.3,1.5,TFT,16M,[]
Samsung,Galaxy J1 (2016),131,130,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j1-2016.jpg,132.6,69.3,8.9,480 x 800,8.0,5,2.0,2050.0,1,62.7,1.3,1.0,Super AMOLED,16M,[]
Samsung,Galaxy A9 (2016),200,460,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a9-pro1.jpg,161.7,80.9,7.4,1080 x 1920,32.0,13,8.0,4000.0,0,75.9,1.8,3.0,Super AMOLED,16M,[]
